Rain,GSR,RH,Temp,WD,WS,PM1,PM2.5,PM10,CO,O3,No,No2,Nox,SO2,שעה,תחנה
,,,,,,,8.6,,,,0.3,4.7,4.8,,04:20,אחד העם
,,,,,,,7.5,,,52.1,0.6,2.2,2.8,1.1,04:00,אנטוקולסקי
0,,62.7,20.8,265,3.2,,,,,,,,,,04:01,ביצרון
,,,,250,4.1,,5.5,16.7,,36.6,0.4,3.7,4.2,0.9,04:00,דרך פ''ת
,,55,24.5,262,1.3,,6.6,,,,-0.5,0.6,0,,04:20,חולון
0,,73.5,21.1,232,3.6,,,12.5,0,47,1.4,2.2,3.6,-0.1,04:20,יד אבנר
,,,,,,,,,,,,,,,04:00,יד לבנים
,,,,,,,10.2,,0.3,,-1.1,5.5,4.4,,04:20,כביש 4
,,,,,,,,,,29.6,0.5,6.9,7.5,0.7,04:00,מכבי אש ר''ג
,,,,,,,5.6,16.1,0.7,,1.3,10.6,11.9,,04:10,תחנה מרכזית תל אביב
,,,,,,,-0.8,,0.1,,0.1,0.7,0.8,,04:20,עירוני ד
,,,,,,,,25.1,,,1.3,5.1,7.3,,04:20,עמיאל
,,,,,,,7.2,,0,,0.5,4.2,4.9,,04:15,ראשון לציון
,,,,,,,8.2,,0.2,,-0.8,2.4,1.4,,04:20,רמז
,,,,,,,,,,,,,,1.6,04:00,רמת השרון
,,,,,,,,,,,,,,,07:30,שיכון בבלי
,,,,,,,,23.8,,,,,,0.6,04:00,שכון ל
0,,79,20.4,,,,,,,,,,,,04:00,תורן רמת השרון
