PM1,GSR (SR),RH,Temp,WD,WS,TOLUENE,BENZEN,PM2.5,PM10,CO,O3,NO_T,NO2_T,NOX_T,No,No2,Nox,SO2,שעה,תחנה
,,,,260,4.2,,,4.9,,0.01,,-1.2,-0.9,-2.1,-1.1,-1.2,-2.3,,04:30,אחוזה
,,,26.6,258,9.6,0.49,0,,103.1,,43,,,,-4,1.2,-2.7,,11:30,איגוד
,,,,101,5.1,,,,,,,,,,,,,,10:00,איינשטין
0,,,,,,,,5.3,,,,,,,-0.1,4,3.9,,04:40,ד.עכו - ק.מוצקין
,,,,229,3.3,,,,,,,,,,0,0.5,0,1.5,04:30,חוגים
,,80.9,19.8,215,0.1,,,,0,0.1,,,,,2,7.8,9.9,,04:40,יזרעאליה
,,,,133,0.4,,,,,,50,,,,-0.5,-0.3,-0.8,-0.5,04:30,כ.חסידים
,,100,19.2,237,6.9,,,,5.7,0,,,,,2.1,1.5,3.6,,04:30,כרמליה
,,,,,,,,2.4,6.3,0.2,50.4,,,,-0.3,0.1,-0.1,-0.7,04:30,נ.שאנן
,,100,20.4,62,0,,,,,,,,,,0,2.7,2.4,,04:40,נוה יוסף
,,,,123,0,0.15,0.04,1.6,-6.4,0.2,50.3,,,,0.1,0.2,0.4,,04:35,ניידת חיפה
,,,19.3,,,,,,14,-0.03,,,,,-0.2,0.7,0.5,-0.1,04:30,נשר
5,,,,,,,,2.1,,-0.1,,,,,-0.1,2,1.9,,04:50,עצמאות חיפה
,,,,13,5.7,,,-69.4,,,55.9,,,,0.7,2.4,3.2,1,15:00,פארק הכרמל
,5,,21.2,219,1.9,,,,8.1,,,,,,0.3,1.4,1.8,0.2,04:30,ק.אתא
,,,,216,1.8,,,,,,,,,,,,,0.1,04:30,ק.ביאלק
,,,,,,0.15,-0.08,3,,,,,,,,,,0.6,04:30,ק.בנימין
,,,,231,1.2,,,5.4,,,48.6,,,,-1.5,0.3,-1.1,,04:30,ק.טבעון
,,,,247,1.9,,,,,,52.5,,,,-0.7,1,0.2,,04:30,ק.ים
,,,,,,,,,,,,,,,,,,0,04:30,ק.מוצקין
,,,,284,2.6,0,0,,,,,,,,0.4,0.8,1.3,,04:30,קרית חיים-רגבים
,,100,19.5,266,0.6,,,,10,0.6,,,,,0,0,0,,04:40,רוממה
,,,,263,2.7,,,,,,41.6,,,,0.1,1.3,1.5,0,04:30,שפרינצק
