Rain,GSR,RH,Temp,WD,WS,PM2.5,PM10,O3,No,No2,Nox,SO2,שעה,תחנה
,,,,189,1.8,,,28.1,0.7,3.3,4.1,1,04:30,אחיסמך
0,,,,,,,24.5,33.2,0,0.8,0.7,1.8,05:00,בית שמש
,,80.8,18.1,3,190.3,,30.6,30.7,0.2,2.4,2.7,0.8,04:30,בית חשמונאי
,,80.4,17.6,178,5.4,14,,23,0,1.8,1.8,,04:25,בני עטרות
,,,,,,,22,,1,1.5,2.6,0.6,04:45,יד רמבם 2
,,,,176,3.3,,24.1,34.1,0.7,3.2,4,1.2,04:30,כרמי יוסף
,,,,,,24,,,,,,,11:55,33_לוד
0,,,,8,1.2,,,44.6,5.2,13.7,18.9,,09:35,מודיעין
,,,,186,4,,18,28.4,0.4,0.8,1.2,0.4,04:30,"מודיעין חח""י"
,,,,,,,,,0,4,3.9,,10:45,צריפין_44
,,60,22.4,175,1.6,,27,30.3,-7.9,2.7,-5.1,,05:00,רחובות
