Rain,RH,Temp,WD,WS,Toulen,Benzen,PM2.5,PM10,CO,O3,No,No2,Nox,SO2,שעה,תחנה
,,,,,,,18,,,,1.6,3.4,5.1,,04:55,16_Jerusalem
,70,18.1,257,2.3,,,12,,,,-0.1,2.7,2.5,,05:00,אפרתה -י''ם
,,,,,,,-1.5,2.6,0.1,,-0.8,6.6,5.8,,05:00,בר אילן -י''ם
,87.4,14,234,7.7,,,,,,,,,,,05:00,גבעת שאול
,89.1,14.9,266,3.3,,,,,,,,,,,04:55,טבע י-ם
,,,,,,,14,,,,0.4,1.1,1.5,,04:50,כביש 1-ק.יערים
,,,,,,,,,,,0,3,3.1,,04:55,כביש 1-מבשרת
,,,,,,,13,,,,-0.8,0.7,0,,04:55,כביש 1 מוצא
,,,,,,,5,,,,-1.3,2.2,0.8,,04:55,ניידת התחנה המרכזית בירושלים
,,,,,,,10,,,,-0.4,2.8,2.4,,04:40,1 נווה אילן
,,,,,,,,14,0.1,38.6,0,4.5,4.5,0.1,05:00,ספרא
,82.1,15.1,238,3,,,,14,0,,0,0,0,,04:55,עטרות א.תעשיה
,,,,,,,3,,,,0,2.9,2.9,,04:50,תחנה מרכזית ירושלים
