RH,Temp,WD,WS,PM2.5,PM10,CO,O3,No2,Nox,SO2,שעה,תחנה
,,273,2.8,,,,,1.9,2,,04:50,א.א.פחם
,18.8,170,1.9,,46,,,,,,04:50,אום אל קוטוף
,,250,3.8,,8.7,,,,,,04:30,אורות רבין
93.6,19.8,233,2.1,,,,,0.3,0.5,0.2,04:50,אליכין
92.3,17.8,249,2.8,,,,,0.7,0.5,0.2,04:50,אליקים
74.2,20.2,,,,,,,-2.3,-2.5,0.4,04:50,ב.אליעזר
,18.3,,,,31,,,,,,04:50,ברטעה
87.4,18.3,156,2.2,,,,40.7,-0.1,-0.1,2.1,04:50,ברקאי
,,,,,,,,2,1.8,0,04:50,ג.עדה
86.1,20.3,249,2.2,,,,,0.9,0.3,0,04:50,גן שמואל
99.6,16.7,244,1.6,,,,,-1.7,-1.8,-0.2,04:50,ד.א.כרמל
97.2,17.7,171,2.1,,,,26.4,-1.2,-1.6,0.1,04:50,המעפיל
77.5,19.2,255,1,,,,,,,,04:50,זכרון יעקב
,,215,3.7,,,,,-3.6,-3.8,0.1,04:50,חדרה
88.1,20.5,244,3.7,,19.3,,,,,,04:30,חפציבה
82.9,18.6,221,3,,,,52.2,0.4,0.2,,04:50,כ.מהרל
90.7,19.8,240,1.9,6,,,,-4,-4.4,-1.4,04:50,פ.חנה
79.8,18.8,210,1.3,,,,,-2.5,-3,0,04:50,מגל
76.6,19.8,225,3.2,,,,,-5.8,-6.1,-0.2,04:50,מנשה
,,229,1.8,,,,,,,2,04:30,מצפה קציר
99.3,16.9,207,1,,,,,-1.2,-1.6,0.1,04:50,עמיקם
,20.3,249,2.9,,,,,,,,04:30,קיסריה
,,,,21.9,,0.2,,2,0.9,,05:00,רעננה
,,202,1.6,5,14,,,,,,04:50,שפיה
,,,,,,,28.4,2.9,3.1,-0.7,03:55,כפר סבא
