Rain,RH,Temp,WD,WS,TOLUENE,Benzen,PM2.5,PM10,O3,No,No2,Nox,SO2,שעה,תחנה
,,,166,0.5,,,30.2,,,,,,,05:00,אורט
0,82.7,17.3,161,2.2,,,,29.8,27.6,0,1.4,1.2,0,06:00,ארז
0,81,19.1,152,3.9,0.11,0.03,11.6,,27.8,-3.6,8,4.3,-0.1,05:00,אשדוד-איגוד
0,77.4,18,146,0.8,,,26,21.4,29.3,0.2,2,2.2,0.1,05:10,אשקלון
0,85.8,16.8,124,3.5,,,13,,28.9,0.3,,,0.2,06:00,אשקלון דרום
,,,,,,,4.5,,20.4,0,2.7,2.8,0,04:45,בני דרום
,,16.6,,,,,,22.4,25.1,0.2,1.8,2.1,0.2,05:00,בת הדר
,81.3,17.8,165,5.8,,,10.7,,28.3,-0.2,2.5,2.2,-0.2,05:00,גדרה
,,,,,,,,,24.1,0.4,3,3.5,0.3,05:00,גן דרום
,,,147,1.5,,,,,,0.1,2.9,3,0,05:00,גן יבנה
0,85.9,17.1,144,2.7,,,3.4,,31.2,0,1.8,1.5,0,06:00,דליה
,,,,,,,,,,0.1,2.2,2.3,-0.2,05:00,חבל יבנה
,,,181,2.5,,,,25,,,,,1,05:00,יבנה עיר
,,,,,,,5.4,,,,,,,05:00,יהלום
0,82.1,19.1,175,1.3,,,,,24,-0.4,3.2,2.7,-0.1,05:00,יד בנימין
,,,178,2.1,,,,,33.7,0.6,2.2,2.8,0.1,05:00,כפר מנחם
0,86.4,17.4,165,1.3,,,,,24.7,0,1.5,1.3,0,06:00,כרמיה אשק
,,,169,0.9,,,,,22,0.5,2,2.5,0.6,05:00,לוזית
0,82.7,17.4,159,2.3,,,,17.4,31.9,0,0.3,0,0,06:00,מבקיעים
0,93.9,17.7,193,1.9,,,-2.2,,23,0.4,2.1,2.5,0,06:00,ניר ישראל
,,,162,2.3,,,,18.4,22.4,0.5,3.5,4,0.8,05:00,ניר גלים
0,85.7,17.3,156,3,,,11.9,,27.1,0.1,1.3,1.5,0,06:00,ק.גברעם
0,82.7,17.8,182,2.9,,,10.7,,27.3,0.6,1.9,2.5,0,06:00,ק.מלאכי
0,80.2,17.5,184,3.9,,,,,28.1,0,1.6,1.5,1.1,06:00,קריית גת
,,,171,1.7,,,,,,,,,,05:04,רובע ו
,,,162,0.7,,,6.5,,25.1,0,2,2,0.6,05:00,רובע טו
0,87.2,16.9,155,1.7,,,14,,,0,1.7,1.6,0.4,06:00,שדה יואב
0,82.4,17.8,215,2.5,,,7.4,,33.2,0,1.4,1.4,0.2,06:00,שדרות
